id,question,answer
1,성인 태권도 기준으로 유단자에게 주어지는 띠는 무슨 색일까요?,검은띠
2,포켓볼 게임에서 8번 공은 무슨 색일까요?,검은색
3,야구공의 중심부는 무엇으로 구성되어 있을까요?,고무코르크
4,헤비급 복싱계 최고의 스타였던 타이슨은 홀리필드와의 리매치에서그의 신체 어느 부분을 물어뜯었는가?,귀
5,호나우지뉴의 데뷔전 팀은?,그레미우
6,농구스타 마이클 조던과 함께 `에어 조던` 운동화를 탄생시킨 스포츠 브랜드는?,나이키
7,프랑스의 사이클 대회 `투르 드 프랑스`에서 구간별 측정 기록이가장 빠른 선수에게 수여되는 저지의 색깔은?,노란색
8,복싱 등의 격투기에서 한쪽 선수가 다운된 뒤 경기를 재개하지 못하여경기가 종료되는 것을 무엇이라고 할까요?,녹아웃
9,구기종목에서 한 선수가 발이나 손을 이용해 공을 몰고 가는 기술을 무엇이라고 할까요?,드리블
10,영국의 테니스 대회인 `윔블던 대회`에서 관중들이 전통적으로 먹는 간식은 무엇일까요?,딸기와크림
11,로봇에 의한 축구의 월드컵 대회 이름은?,로보컵
12,포커 게임 중 와일드 카드를 제외하고 가장 높은 패는 무엇일까?,로얄스트레이트플러시
13,권투 경기에서 두 선수가 서로 맞붙어 겨루는 장소를 무엇이라고 할까요?,링
14,권투와 야구 등에서 입 안을 보호하기 위해 사용하는 용구의 이름은?,마우스피스
15,구기 스포츠의 하나인 폴로 경기에서 심판들이 경기장에서 이동하는 방법은?,말
16,러시아의 격투기 `삼보`는 어떤 무기를 들고 겨루는 스포츠일까요?,무기없음
17,역도운동이나 웨이트 트레이닝에 쓰이는 용구는?,바벨
18,씨름에서 가장 `무거운` 체급은?,백두
19,컬링 경기에서 스톤의 방향이나 속도를 조절하기 위해 얼음 표면을 닦는데 사용하는 장비는?,브룸
20,배구에서 상대방이 스파이크한 볼을 네트 위에서 양손으로 저지하는 방어 기술을 무엇이라고 할까요?,블로킹
21,"중국 ""베이징 국립 경기장""의 별명은 무엇일까요?",새둥지
22,메이저리그에서 역사상 월드시리즈에서 우승 경험이 한번도 없는팀은 어디일까요?,샌디에이고
23,CMAS는 어떤 스포츠 종목을 주관하는 국제단체의 약칭일까요?,수중 경기
24,북아메리카에서 프로아이스하키 리그의 플레이오프 우승 팀에게수여되는 트로피의 이름은 무엇일까요?,스탠리컵
25,"프로야구 시즌이 끝나고 난 뒤, 구단이 팀 전력 보강을 위해노력하는 시기를 무엇이라고 할까요?",스토브리그
26,"하키 또는 아이스하키에서, 공을 다루는 도구를 부르는 이름은?",스틱
27,"복싱 등에서, 실제 경기에 가까운 형식의 연습을 뜻하는 말은?",스파링
28,"운동 경기에서, 정정당당하고 공정하게 승부를 겨루는 정신을 무엇이라고 할까요?",스포츠맨십
29,"운동의 효과를 평가·분석하여 훈련 방법의 개선점을 추구하고,스포츠 외상의 예방과 치료 지침을 마련하는 학문은?",스포츠의학
30,스포츠 경기에서 규정된 규칙에 위반되었을 때 경기자로서의 자격을 상실당하는 것을 무엇이라고 말할까요?,실격
31,권투에서 상대편의 턱을 밑에서 위로 올려 치는 공격법은?,어퍼컷
32,스포츠를 하기 전에 실시하는 준비운동을 뜻하는 말은?,워밍업
33,UEFA는 어떤 단체를 나타내는 약어일까요?,유럽축구연맹
34,대부분의 운동 경기에서 2위를 차지한 선수에게 주는 메달은?,은메달
35,골프 경기에서 정해진 타수보다 2타 적게 홀아웃 하는것을 뜻 하는 단어는?,이글
36,드래그 레이스(drag race)는 어떤 종목의 스포츠 경기일까요?,자동차
37,윔블던 테니스 대회`는 어떤 테니스코트에서 경기가 치러질까요?,잔디
38,테니스 코트는 무슨 모양인가?,직사각형
39,줄다리기에서 일반적으로 사용하는 줄은 어떤 재료로 만들까요?,짚
40,테니스 경기가 이루어지는 직사각형의 공간을 무엇이라고 할까요?,코트
41,두 명이 함께 탈 수 있는 자전거를 부르는 이름은?,탠덤자전거
42,영국 북런던을 연고지로 하는 축구 클럽명은?,토트넘훗스퍼
43,골프에서 각 홀의 제1타를 칠 때 공을 얹어놓는 도구를 무엇이라고 부르는가?,티
44,스페인어로 빠르고 짧은 패스가 왔다 갔다 하는 축구 경기 전술을 이르는 말은?,티키타카
45,스쿼시 경기에서 사용하는 공 중 가장 빠른 공에는 어떤 색깔의 점이 표시되어 있는가?,파란색
46,포켓볼 테이블(당구대)에서 공이 떨어지는 구멍을 무엇이라고 할까요?,포켓
47,사진 속 근력운동의 명칭은 무엇일까요?,푸시업
48,축구 경기의 전반과 후반 사이에 있는 휴식 시간을 무엇이라고 하나요?,하프타임
49,축구 경기에서 한 선수가 한 게임에서 3득점을 하는 것을 무엇이라고 할까요?,해트트릭
50,신체를 단련하거나 건강을 유지하기 위하여 각종 운동 기구를 갖추어 놓은 곳은?,헬스장
51,동계 올릭픽 종목인 컬링에서 쓰이는 컬링 스톤은 무엇으로 만들어질까?,화강암
52,다트 판의 중앙을 일컫는 이름은?,황소눈
53,미국의 프로농구협회를 부르는 약칭은?,NBA
