id,question,answer
1,K리그가 처음 시작된 해는?,1983
2,K리그에서 가장 많은 우승을 차지한 팀은?,FC서울
3,K리그 최초의 MVP 수상자는 누구인가?,차범근
4,K리그에서 한 시즌 최다 골 기록은 몇 개인가?,31
5,K리그에서 한 경기 최다 골을 기록한 선수는 누구인가?,세징야
6,K리그에서 한 경기 최다 골 기록은 몇 개인가?,5
7,K리그에서 가장 많은 관중을 동원한 경기는 몇 명이었는가?,"58,123"
8,K리그에서 가장 오래된 팀은 어느 팀인가?,포항
9,K리그에서 가장 많은 경기를 출전한 선수는 누구인가?,김기동
10,K리그에서 가장 많은 도움을 기록한 선수는 누구인가?,이동국
11,K리그에서 가장 많은 경고를 받은 선수는 누구인가?,김태영
12,K리그에서 가장 많은 퇴장을 당한 선수는 누구인가?,김남일
13,K리그에서 가장 높은 이적료를 기록한 선수는 누구인가?,김민재
14,K리그에서 한 시즌 최다 도움 기록은 몇 개인가?,18
15,K리그에서 최초로 득점왕을 차지한 선수는 누구인가?,차범근
16,K리그에서 최초로 200골을 기록한 선수는 누구인가?,이동국
17,K리그에서 최초로 300경기에 출전한 선수는 누구인가?,최진철
18,K리그에서 최초로 100도움을 기록한 선수는 누구인가?,이동국
19,K리그에서 가장 많은 승리를 기록한 감독은 누구인가?,김학범
20,K리그에서 가장 많은 우승을 기록한 감독은 누구인가?,최강희
21,K리그에서 한 시즌 최다 승점을 기록한 팀은 어느 팀인가?,전북
22,K리그에서 한 시즌 최다 승점 기록은 몇 점인가?,86
23,K리그에서 한 시즌 최다 패배를 기록한 팀은 어느 팀인가?,광주
24,K리그에서 한 시즌 최다 패배 기록은 몇 개인가?,28
25,K리그에서 최초로 무패 우승을 달성한 팀은 어디인가?,전북
26,K리그에서 가장 긴 연승 기록은 몇 경기인가?,12
27,K리그에서 가장 긴 연패 기록은 몇 경기인가?,13
28,K리그에서 가장 적은 골을 기록한 팀은 어느 팀인가?,광주
29,K리그에서 한 시즌 최다 득점을 기록한 팀은 몇 골인가?,89
30,K리그에서 한 시즌 최다 실점을 기록한 팀은 몇 골인가?,85
31,K리그에서 가장 많은 클린시트를 기록한 골키퍼는 누구인가?,이운재
32,K리그에서 한 시즌 최다 클린시트를 기록한 골키퍼는 누구인가?,송범근
33,K리그에서 한 시즌 최다 클린시트 기록은 몇 개인가?,21
34,K리그에서 가장 많은 경기에 출전한 골키퍼는 누구인가?,이운재
35,K리그에서 한 시즌 최다 경기 출전 기록은 몇 경기인가?,44
36,K리그에서 가장 많은 시즌을 뛴 선수는 누구인가?,이동국
37,K리그에서 가장 많은 우승을 차지한 선수는 누구인가?,최은성
38,K리그에서 가장 많은 득점을 기록한 골키퍼는 누구인가?,김병지
39,K리그에서 가장 많은 팬을 보유한 팀은 어느 팀인가?,FC서울
40,K리그에서 최초로 해외에서 뛰었던 선수는 누구인가?,차범근
41,축구 경기는 몇 분 동안 진행되나요?,90
42,축구 경기에서 한 팀의 선수 수는 몇 명인가요?,11
43,연장전은 몇 분 동안 진행되나요?,30
44,페널티킥을 차는 지점은 골대에서 몇 미터 떨어져 있나요?,11
45,경기 시작 전과 후반 시작 전에 시행되는 것은 무엇인가요?,킥오프
46,오프사이드 위치는 상대팀의 골라인에서 몇 명 이상의 상대 선수보다 앞에 있을 때 성립하나요?,2
47,경기 중 선수가 공을 직접 손으로 만지면 주어지는 것은 무엇인가요?,프리킥
48,축구 경기에서 득점은 골 라인을 완전히 넘은 공에 대해 인정되나요?,예
49,코너킥은 공이 어느 위치에서 나갔을 때 주어지나요?,골라인
50,프리킥은 직접 프리킥과 간접 프리킥으로 나눠지나요?,네
51,경기 중 심판이 경기의 흐름을 중단시키는 경우는 주로 어떤 상황인가요?,반칙
52,경기 중 선수가 고의적으로 핸드볼을 하면 주어지는 것은 무엇인가요?,프리킥
53,골키퍼가 6초 이상 공을 손으로 잡고 있으면 주어지는 것은 무엇인가요?,간접프리킥
54,경기 중 선수가 반칙을 하면 심판이 줄 수 있는 신호는 무엇인가요?,호루라기
55,경기 중 선수가 부상당한 경우 어떻게 경기가 재개되나요?,드롭볼
56,경기 중 선수가 오프사이드 위치에 있는 경우 어떻게 되나요?,프리킥
57,경기 중 선수가 상대편을 향해 고의적인 반칙을 하면 주어지는 것은 무엇인가요?,레드카드
58,골키퍼는 페널티 에어리어 내에서만 손을 사용할 수 있나요?,예
59,경기 중 공이 사이드라인을 완전히 넘어가면 어떻게 경기가 재개되나요?,스로인
60,경기 중 선수가 고의적으로 상대방을 밀면 주어지는 것은 무엇인가요?,프리킥
61,축구 경기에서 퇴장은 몇 번의 옐로 카드로 주어지나요?,2
62,경기 중 선수가 경기장 밖으로 나가려면 누구의 허락을 받아야 하나요?,심판
63,경기 중 선수가 상대방을 속이기 위해 다이빙을 하면 주어지는 것은 무엇인가요?,옐로카드
64,경기 중 선수가 심판에게 욕설을 하면 주어지는 것은 무엇인가요?,레드카드
65,경기 중 공이 아웃되면 심판이 주는 신호는 무엇인가요?,스로인
66,경기 중 선수가 상대방의 진로를 방해하면서 공을 건드리지 않으면 주어지는 것은 무엇인가요?,프리킥
67,경기 중 선수가 페널티 에어리어 안에서 반칙을 하면 주어지는 것은 무엇인가요?,페널티킥
68,경기 중 심판이 경기를 재개하기 위해 사용하는 도구는 무엇인가요?,호루라기
69,경기 중 공이 사이드라인을 완전히 넘어가면 어떻게 되나요?,스로인
70,경기 중 심판이 경기를 중단하고 드롭볼을 통해 재개할 수 있는 경우는 언제인가요?,부상
