id,question,answer
1,경기 중 선수가 반칙을 하면 심판이 줄 수 있는 신호는 무엇인가요?,호루라기
2,경기 중 심판이 경기를 재개하기 위해 사용하는 도구는 무엇인가요?,호루라기
3,유로 챔피언십에서 최다 득점을 기록한 선수는 누구인가요?,호날두
4,챔피언스리그에서 최다 도움을 기록한 선수는 누구인가요?,호날두
5,경기 중 선수가 고의적으로 핸드볼을 하면 주어지는 것은 무엇인가요?,프리킥
6,경기 중 선수가 오프사이드 위치에 있는 경우 어떻게 되나요?,프리킥
7,경기 중 선수가 고의적으로 상대방을 밀면 주어지는 것은 무엇인가요?,프리킥
8,1년간 기록된 골 중 가장 멋진 골을 기록한 선수에 수여되는 상의 이름은?,푸스카스
9,월드컵에서 최다 도움을 기록한 선수는 누구인가요?,펠레
10,경기 중 선수가 페널티 에어리어 안에서 반칙을 하면 주어지는 것은 무엇인가요?,페널티킥
11,맨체스터 유나이티드의 전설적인 감독은?,퍼거슨
12,세리에 A에서 최다 도움을 기록한 선수는 누구인가요?,토티
13,아틀레티코 마드리드의 전설적인 스트라이커는?,토레스
14,경기 시작 전과 후반 시작 전에 시행되는 것은 무엇인가요?,킥오프
15,월드컵에서 최다 득점을 기록한 선수는 누구인가요?,클로제
16,리버풀의 전설적인 수비수는?,캐러거
17,바르셀로나의 홈구장 이름은?,캄프누
18,챔피언스리그 최다 출전 기록을 보유한 선수는?,카시야스
19,챔피언스리그에서 최다 클린시트를 기록한 골키퍼는 누구인가요?,카시야스
20,프리미어리그에서 최다 클린시트를 기록한 골키퍼는 누구인가요?,체흐
21,도르트문트의 홈구장 이름은?,지그날이두나파크
22,월드컵 결승전에서 해트트릭을 기록한 선수는?,제프허스트
23,바르셀로나의 전설적인 미드필더는?,이니에스타
24,세리에 A에서 한 시즌 최다 득점을 기록한 선수는 누구인가요?,이과인
25,이탈리아 세리에 A의 최다 우승 팀은?,유벤투스
26,경기 중 선수가 상대방을 속이기 위해 다이빙을 하면 주어지는 것은 무엇인가요?,옐로카드
27,축구 경기에서 득점은 골 라인을 완전히 넘은 공에 대해 인정되나요?,예
28,골키퍼는 페널티 에어리어 내에서만 손을 사용할 수 있나요?,예
29,레알 마드리드와 바르셀로나의 라이벌전은 무엇이라 불리나요?,엘클라시코
30,아프리카 네이션스컵에서 최다 득점을 기록한 선수는 누구인가요?,에토
31,아스날의 홈구장 이름은?,에미레이트스타디움
32,프리미어리그에서 한 시즌 최다 도움을 기록한 선수는?,앙리
33,경기 중 선수가 경기장 밖으로 나가려면 누구의 허락을 받아야 하나요?,심판
34,세리에 A에서 최다 득점을 기록한 선수는 누구인가요?,실비오 피올라
35,첼시의 홈구장 이름은?,스탬포드브리지
36,경기 중 공이 사이드라인을 완전히 넘어가면 어떻게 경기가 재개되나요?,스로인
37,프리미어리그에서 한 시즌 최다 득점을 기록한 선수는 누구인가요?,살라
38,레알 마드리드의 홈구장 이름은?,산티아고베르나베우
39,인터밀란과 AC밀란이 공유하는 경기장은?,산시로
40,월드컵에서 가장 많은 우승을 차지한 국가는?,브라질
41,바이에른 뮌헨이 속한 리그는?,분데스리가
42,세리에 A에서 최다 클린시트를 기록한 골키퍼는 누구인가요?,부폰
43,경기 중 심판이 경기를 중단하고 드롭볼을 통해 재개할 수 있는 경우는 언제인가요?,부상
44,맨체스터 유나이티드의 전설적인 공격수는?,베스트
45,경기 중 심판이 경기의 흐름을 중단시키는 경우는 주로 어떤 상황인가요?,반칙
46,메시가 프로 데뷔한 팀은?,바르셀로나
