,id,question,answer
,1,"""악어"" 모양의 로고로 유명한 의류 브랜드를 만든 프랑스의 테니스 스타는?",르네 라코스테
,2,아시아인 최초로 푸스카스상을 수여받은 축구선수는?,모하메드 파이즈
,3,"미국의 복싱 선수 `조지 포먼`이 프로로 전향한 이후,그에게 맨 처음으로 KO 패를 안긴 인물은 누구였을까요?",무하마드 알리
,4,"""나비처럼 날아서 벌처럼 쏜다""라는 유명한 말을 남긴 사람은?",무하마드 알리
,5,유일하게 두 개의 다른 체급에서 올림픽과 세계선수권을 모두 우승한 선수는?,심권호
,6,프로 복싱 사상 최다 KO승을 기록한 전설의 복서는?,아치 무어
,7,필라테스` 운동을 처음 고안한 사람은 누구일까요?,요제프 필라테스
,8,2012년 하계 올림픽 육상 100m 와 200m 결승전에서우사인 볼트 다음으로 2위에 오른 선수는 누구였습니까?,요한 블레이크
,9,"인간 탄환이라는 별명과 함께 남자 100m, 200m 세계 기록을 보유한자메이카 출신의 육상 단거리 선수는?",우사인 볼트
,10,월드컵 역사상 결승전에서 해트트릭을 기록한 유일한 선수는 누구인가?,제프 허스트
,11,2022 월드컵 대한민국:가나전에서 2골을 넣은 축구선수는 누구일까요?,조규성
,12,자유형 100미터 경기에서 최초로 1분의 벽을 깬 수영선수는?,조니 와이즈뮬러
,13,다음 사진 속 인물은 누구인가요?,
