id,question,answer
1,올림픽 성화는 어느 나라에서 채화되어 개최지 올림픽 경기장으로 운반되는 것일까요?,그리스
2,1896년 제1회 올림픽이 개최된 곳은?,그리스
3,부부젤라는 어느 나라 축구 경기의 응원 도구로 유명한 악기일까요?,남아프리카공화국
4,크로스컨트리 스키와 스키점프를 함께 치르는 노르딕 복합은어느 나라에서 유래한 스포츠일까요?,노르웨이
5,실내종합경기장인 `매디슨 스퀘어 가든`이 위치한 곳은?,뉴욕
6,택견`은 어느 나라 고유의 전통 무예일까요?,대한민국
7,리그오브레전드라는 게임의 대회에서 가장 많이 우승한 팀의 국가는?,대한민국
8,올림픽 경기를 주최한 최초의 아시아 도시는 어디입니까?,도쿄
9,영국 축구 `명예의 전당`이 전시된 영국국립축구박물관이 위치한 영국의 도시는?,맨체스터
10,1972년 하계 올림픽은 어디에서 열렸습니까?,뮌헨
11,길거리 농구의 발상지로 알려진 나라는?,미국
12,치어리딩`은 어느 나라에서 시작된 응원문화일까요?,미국
13,농구는 어느 나라에서 처음 고안된 운동일까요?,미국
14,MLS(Major League Soccer)는 어느 나라의 축구 리그 인가?,미국
15,배구는 어느 나라에서 처음 만들어졌을까요?,미국
16,세계 최대의 축구 경기장으로 알려진 `마라카냥 경기장`은 어느 나라에 있을까요?,브라질
17,2016년 하계 올림픽은 어디에서 개최되었을까요?,브라질
18,"""골든 스테이트 워리어스""는 미국 어느 도시에 연고지를 둔 NBA 프로농구팀일까요?",샌프란시스코
19,1988년 하계 올림픽이 개최된 도시는?,서울
20,국제올림픽위원회(IOC)의 본부가 위치한 곳은?,스위스
21,국제 스키 연맹`은 다음 중 어느 국가에 본부를 두고 있는 단체일까요?,스위스
22,세계 최초의 봅슬레이 전용 트랙이 만들어진 곳은 어디인가?,스위스
23,국제농구연맹`은 어느 국가에서 창립된 단체일까요?,스위스
24,골프는 어느 나라에서 만들어졌는가?,스코틀랜드
25,마이클 조던 동상이 있는 도시는?,시카고
26,축구계의 살아있는 전설 `리오넬 메시`가 태어난 곳은?,아르헨티나
27,2022 카타르 월드컵의 우승국은?,아르헨티나
28,탁구는 어느 대륙에서 특히 인기가 많은 스포츠 종목일까요?,아시아
29,다트`는 어느 나라에서 유래한 게임일까요?,영국
30,테니스와 월핸드볼을 혼합한 운동인 `스쿼시`는 어느 나라에서 시작되었을까요?,영국
31,"""AS 로마""는 어느 나라의 프로축구클럽일까요?",이탈리아
32,유도가 처음 유래된 국가는?,일본
33,용 모양을 한 배로 하는 `드래곤 보트 경주`는 어느 나라의 전통 축제에 열리는 경기일까요?,중국
34,1900년에 개최되었던 제2회 올림픽의 개최지는?,파리
35,2018년 제21회 러시아 월드컵의 우승국은?,프랑스
36,세계 최초로 카 레이싱(자동차 경주)이 열렸던 국가는?,프랑스
