id,question,answer
1,KBO 최강팀은?,기아
2,KBO 최강팀은?,레알마드리드
3,KBO 초대 우승팀은?,OB
4,KBO가 10개 구단으로 시즌을 시작한 년도는?,2015
5,롯데와 NC 맞대결을 이르는 더비명은?,낙동강
6,두산과 KIA 맞대결을 이르는 더비명은?,단군
7,KIA 마스코트 이름은?,하랑이
8,SSG 마스코트 이름은?,랜디
9,잠실의 주인은?,두산
10,잠실의 주인은?,LG
11,롯데자이언츠의 2023년 총 관중 수는?,"891,745"
12,이종범의 영구 결번 번호는?,7
13,KT 위즈의 초대 감독은?,조범현
14,SSG 구단주 이름은?,정용진
15,LG와 롯데의 맞대결을 이르는 더비명은?,엘꼴라시코
16,김태균의 영구 결번 번호는?,52
17,한화 최초 외국인 감독 이름은?,수베로
18,2009년 류현진의 탈삼진 개수는?,188
19,최강한화 OOO 워어어어~ 최강한화 OOO 워어어어~ 저!하늘로 날아올라 빛이 되리라 워어어어 한화 OOO,채은성
20,한화에 OOO 워어어 한화에 OOO 워어어 이순간 너의 모든것을 보여줘 넌! OOO이다,이진영
21,문현빈 선수 응원가의 원곡자명은?,타이푼
22,타이거즈 OOOOO OOOOO 워어어어어~ 타이거즈 OOOOO OOOOO 워어어어~,소크라테스
23,김도영 선수의 등장곡은?,바람바람바람
24,KBO에서 모기업이 없는 구단은?,키움
25,키움 마스코트 이름은?,턱돌이
26,두산 마스코트 이름은?,철웅이
27,2017년 KBO 신인왕은?,이정후
28,2018년 KBO 신인왕은?,강백호
29,2021년 KBO 신인왕은?,이의리
30,2023년 KBO 신인왕은?,문동주
31,2006년 KBO MVP는?,류현진
32,2010년 KBO MVP는?,이대호
33,2016년 KBO MVP는?,니퍼트
34,2023년 KBO MVP는?,페디
35,KBO에서 한 시즌동안 활약한 선수들 중 각 포지션별로 최고의 선수에게 수여하는 상은?,골든글러브
36,2013년 골든글러브 포수 부문 수상자는?,강민호
37,2014년 골든글러브 포수 부문 수상자는?,양의지
38,2014년 골든글러브 지명타자 부문 수상자는?,이승엽
39,2020년 골든글러브 지명타자 부문 수상자는?,최형우
40,한화 이글스의 최다 연패 경기 수는?,18
41,KBO리그 타이틀 스폰서는?,신한은행
42,KBO 최다 우승팀은?,KIA
43,한화의 마지막 우승 년도는?,1999
44,롯데의 마지막 우승 년도는?,1992
45,삼성의 마지막 우승 년도는?,2014
46,두산의 마지막 우승 년도는?,2019
47,KIA의 마지막 우승 년도는?,2017
48,주전에서 밀려 기회를 받지 못하는 선수들에게 소속 구단을 옮게 새롭게 기회를 줄 수 있는 제도는?,2차드래프트
49,"KBO 리그에서 최초로 2,000안타를 기록한 선수는?",양준혁
50,KBO 리그의 정규 시즌 경기 수는?,144
51,KBO 리그에서 타자가 공을 맞고 1루로 나가는 경우는?,사구
52,KBO 리그에서 가장 오래된 야구장은?,사직
53,KBO 리그에서 팬들이 특별한 경기 때마다 착용하는 유니폼을 이르는 말은?,레플리카
54,KBO 리그의 포스트 시즌은 몇 단계로 구성되어 있나요?,3
55,KBO 최초로 40-40을 달성한 선수는?,테임즈
56,KBO 리그에서 경기 중 비디오 판독이 도입된 해는?,2014
57,주자가 강제로 다음 베이스로 진루해야 하는 상황에서 수비수가 공을 잡고 베이스를 밟아 아웃시키는 것은?,포스아웃
58,한 타자의 타구로 두 명의 주자가 아웃되는 상황은?,더블플레이
59,투수의 불법 동작으로 주자에게 진루를 허용하는 것은?,보크
60,KBO 리그의 시즌 MVP 수상자는 몇 명인가요? (2023년 기준),40
61,서건창이 한 시즌에 기록한 최다 안타 수는?,201
62,KBO 리그에서 한 시즌에 최다 승리를 기록한 투수의 승수는?,28
63,이종범이 KBO 리그에서 기록한 최다 연속 경기 안타 기록은?,30
64,KBO 리그에서 한 팀의 한 경기 당 최소 선수 인원은?,9
65,잠실야구장의 수용 가능 인원은 몇 명인가요?,25553
66,고척 스카이돔의 수용 가능 인원은 몇 명인가요?,16813
67,사직야구장의 수용 가능 인원은 몇 명인가요?,22990
68,삼성 라이온즈 파크의 수용 가능 인원은 몇 명인가요?,24000
69,창원 NC 파크의 수용 가능 인원은 몇 명인가요?,22000
70,대전 한화생명 이글스 파크의 수용 가능 인원은 몇 명인가요?,13000
71,인천 SSG 랜더스필드의 수용 가능 인원은 몇 명인가요?,26000
72,수원 케이티 위즈 파크의 수용 가능 인원은 몇 명인가요?,20000
73,광주 기아 챔피언스 필드의 수용 가능 인원은 몇 명인가요?,22244
74,문학야구장의 수용 가능 인원은 몇 명인가요?,27800
75,KBO 리그에서 치어리더가 도입된 해는 몇 년도인가요?,1990
76,KBO 리그에서 팬들이 경기 중에 부르는 팀 응원가는 몇 곡 정도인가요? (평균),10
77,출루율 + 장타율,OPS
78,2017년 KIA의 우승 감독은?,김기태
79,별명이 '허구라'인 사람은?,허구연
80,김병현의 대표적인 별명은?,법규
