id,question,answer
1,리그 오브 레전드에서 바론은 어떤 기능을 가지고 있나요?,팀버프
2,오버워치에서 '젠야타'의 궁극기 이름은?,초월
3,FIFA 온라인 4에서 최초로 월드 투어 챔피언이 된 국가는?,중국
4,리그 오브 레전드에서 '마타'라는 별명을 가진 선수의 본명은?,조세형
5,오버워치에서 '트레이서'의 대표적인 스킬은?,점멸
6,스타크래프트 II에서 최초로 '봉구'라는 별명을 가진 선수의 본명은?,전태양
7,리그 오브 레전드에서 '듀크'라는 별명을 가진 선수의 본명은?,이호성
8,스타크래프트에서 최초로 골든 마우스를 획득한 선수는?,이윤열
9,스타크래프트에서 최초로 인공지능(AI)을 이긴 프로게이머는?,이영호
10,스타크래프트에서 '플래시'라는 별명을 가진 선수의 본명은?,이영호
11,스타크래프트 II에서 최초로 GSL 코드 S를 연속으로 세 차례 우승한 선수는?,이신형
12,스타크래프트 II에서 가장 많은 GSL 코드 S 우승을 차지한 선수는?,이신형
13,스타크래프트 II에서 최초로 GSL 코드 S를 우승한 외국인 선수는?,이승현
14,리그 오브 레전드에서 '페이커'라는 별명을 가진 선수의 본명은?,이상혁
15,리그 오브 레전드에서 최초로 세계 챔피언십 우승을 차지한 북미 팀은?,없음
16,리그 오브 레전드에서 게임 시작 시 어떤 아이템을 구매할 수 있나요?,없음
17,리그 오브 레전드에서 챔피언을 선택할 때 중복 선택이 가능한가요?,아니오
18,리그 오브 레전드에서 챔피언을 선택한 후 변경이 가능한가요?,아니오
19,피파온라인4의 장르는 무엇인가요?,스포츠
20,리그 오브 레전드의 주요 게임 모드 중 하나는?,솔로큐
21,스타크래프트 II에서 최초로 블리즈컨 우승을 차지한 선수는?,서성민
22,리그 오브 레전드의 기본 맵은 무엇인가요?,서머스리프트
23,오버워치에서 가장 많은 OWL 우승을 차지한 팀은?,샌프란시스코쇼크
24,오버워치에서 '게겐프레스' 전략을 사용하는 팀은?,밴쿠버타이탄즈
25,리그 오브 레전드에서 '뱅'이라는 별명을 가진 선수의 본명은?,배준식
26,스타크래프트 II에서 '다크'라는 별명을 가진 선수의 본명은?,박령우
27,하스스톤 월드 챔피언십에서 최초로 우승한 국가는?,미국
28,리그 오브 레전드의 게임 장르는?,모바일액션
29,리그 오브 레전드에서 최초로 펜타킬을 기록한 선수는?,막눈
30,오버워치 리그의 첫 번째 시즌 우승 팀은?,런던스핏파이어
31,오버워치에서 최초로 '트리플 크라운'을 달성한 팀은?,런던스핏파이어
32,리그 오브 레전드의 개발사는?,라이엇게임즈
33,오버워치에서 '라인하르트'의 궁극기 이름은?,대지분쇄
34,서든어택의 최초 월드 챔피언은?,네오플즈
35,리그 오브 레전드에서 '데프트'라는 별명을 가진 선수의 본명은?,김혁규
36,리그 오브 레전드에서 '꼬마'라는 별명을 가진 감독의 본명은?,김정균
37,스타크래프트 II 최초의 GSL 코드 S 우승자는?,김원기
38,스타크래프트 II에서 '소울키'라는 별명을 가진 선수의 본명은?,김민철
39,리그 오브 레전드에서 '기인'이라는 별명을 가진 선수의 본명은?,김기인
40,리그 오브 레전드에서 챔피언을 처치하면 얻는 자원은?,골드
41,리그 오브 레전드에서 챔피언의 레벨업이 필요한 자원은?,경험치
42,리그 오브 레전드에서 '더샤이'라는 별명을 가진 선수의 본명은?,강승록
43,리그 오브 레전드에서 최초로 '펜타킬 킹'으로 불린 선수는?,Uzi
44,리그 오브 레전드 월드 챔피언십에서 최초로 우승한 한국 팀은?,T1
45,리그 오브 레전드에서 가장 많은 LCK 우승을 차지한 팀은?,T1
46,리그 오브 레전드에서 최초로 LCK와 월드 챔피언십을 동시에 우승한 팀은?,T1
47,피파온라인4의 플랫폼은 어떤 것들이 있나요?,PC
48,FIFA 온라인 4에서 최초로 월드 투어 챔피언이 된 팀은?,OMG
49,서든어택의 최초 월드 챔피언은?,Newtype
50,오버워치 리그의 최초 MVP는?,Jjonak
51,리그 오브 레전드 월드 챔피언십에서 최초로 우승한 팀은?,Fnatic
52,하스스톤 월드 챔피언십에서 최초로 우승한 선수는?,Firebat
53,피파온라인4는 어느 게임의 약자인가요?,FIFA
54,FIFA 온라인 4에서 최초로 월드 투어 챔피언이 된 선수는?,Ettorito97
55,리그 오브 레전드에서 LPL 최초로 우승한 팀은?,EDG
56,피파온라인4의 개발사는 누구인가요?,EA스포츠
57,FIFA 온라인 4에서 최초로 월드 투어 챔피언이 된 선수는?,Caesars
58,피파온라인4의 출시 연도는?,2018
59,리그 오브 레전드의 출시 연도는?,2009
60,피파온라인4에서의 경기 시간은 몇 분인가요?,90
61,리그 오브 레전드에서 챔피언의 레벨은 최대 몇까지 올릴 수 있나요?,18
62,리그 오브 레전드의 각 팀이 경쟁하는 지역은 몇 곳인가요?,5
63,리그 오브 레전드에서 각 팀은 몇 명의 챔피언으로 구성되어 있나요?,5
64,리그 오브 레전드의 각 챔피언은 몇 개의 기본 스킬을 가지고 있나요?,4
65,리그 오브 레전드의 기본 맵은 몇 개의 경로로 이루어져 있나요?,3
