id,question,answer
1,리그 오브 레전드에서 바론은 어떤 기능을 가지고 있나요?,팀버프
2,오버워치에서 '젠야타'의 궁극기 이름은?,초월
3,FIFA 온라인 4에서 최초로 월드 투어 챔피언이 된 국가는?,중국
4,오버워치에서 '트레이서'의 대표적인 스킬은?,점멸
5,스타크래프트에서 최초로 골든 마우스를 획득한 선수는?,이윤열
6,스타크래프트에서 '플래시'라는 닉네임을 쓰는 선수의 본명은?,이영호
7,스타크래프트 II에서 최초로 GSL 코드 S를 연속으로 세 차례 우승한 선수는?,이신형
8,스타크래프트 II에서 가장 많은 GSL 코드 S 우승을 차지한 선수는?,이신형
9,리그 오브 레전드에서 '페이커'라는 닉네임을 쓰는 선수는?,대상혁
10,리그 오브 레전드에서 챔피언을 선택할 때 중복 선택이 가능한가요?,아니오
11,리그 오브 레전드에서 챔피언을 선택한 후 변경이 가능한가요?,아니오
12,리그 오브 레전드의 주요 게임 모드 중 하나로 무호흡 남탓이 남발하는 모드는?,솔랭
13,리그 오브 레전드의 기본 맵 이름은?,서머스리프트
14,오버워치에서 가장 많은 OWL 우승을 차지한 팀은?,샌프란시스코쇼크
15,오버워치에서 '게겐프레스' 전략을 사용하는 팀은?,밴쿠버타이탄즈
16,리그 오브 레전드에서 '뱅'을 닉네임으로 사용하는 선수 본명은?,배준식
17,스타크래프트 II에서 '다크'를 닉네임으로 사용하는 선수 본명은?,박령우
18,하스스톤 월드 챔피언십에서 최초로 우승한 국가는?,미국
19,리그 오브 레전드의 게임 장르는?,aos
20,리그 오브 레전드에서 최초로 펜타킬을 기록한 선수는?,막눈
21,오버워치 리그의 첫 번째 시즌 우승 팀은?,런던스핏파이어
22,오버워치에서 최초로 '트리플 크라운'을 달성한 팀은?,런던스핏파이어
23,리그 오브 레전드의 개발사는?,라이엇게임즈
24,오버워치에서 '라인하르트'의 궁극기 이름은?,대지분쇄
25,리그 오브 레전드에서 '데프트'라는 닉네임을 쓰는 선수의 본명은?,김혁규
26,리그 오브 레전드에서 '꼬마'라는 닉네임을 가진 감독의 본명은?,김정균
27,스타크래프트 II에서 '소울키'라는 닉네임을 가진 선수의 본명은?,김민철
28,리그 오브 레전드에서 '기인'이라는 닉네임을 가진 선수의 본명은?,김기인
29,리그 오브 레전드에서 챔피언을 처치하면 얻는 자원은?,골드
30,리그 오브 레전드에서 챔피언의 레벨업이 필요한 자원은?,경험치
31,리그 오브 레전드에서 '더샤이'라는 닉네임을 가진 선수의 본명은?,강승록
32,리그 오브 레전드에서 최초로 '펜타킬 킹'으로 불린 선수는?,uzi
33,리그 오브 레전드 월드 챔피언십에서 최초로 우승한 한국 팀은?,t1
34,리그 오브 레전드에서 가장 많은 LCK 우승을 차지한 팀은?,t1
35,리그 오브 레전드에서 최초로 LCK와 월드 챔피언십을 동시에 우승한 팀은?,t1
36,FIFA 온라인 4에서 최초로 월드 투어 챔피언이 된 팀은?,omg
37,리그 오브 레전드 월드 챔피언십에서 최초로 우승한 팀은?,fnatic
38,하스스톤 월드 챔피언십에서 최초로 우승한 선수는?,firebat
39,리그 오브 레전드에서 LPL 최초로 우승한 팀은?,edg
40,피파온라인4의 개발사는 누구인가요?,ea스포츠
41,피파온라인4의 출시 연도는?,2018
42,리그 오브 레전드의 출시 연도는?,2009
43,리그 오브 레전드에서 챔피언의 레벨은 최대 몇까지 올릴 수 있나요?,18
44,리그 오브 레전드에서 각 팀은 몇 명의 챔피언으로 구성되어 있나요?,5
45,리그 오브 레전드의 각 챔피언은 몇 개의 기본 스킬을 가지고 있나요?,4
46,이즈리얼 q 스킬 이름은?,신비한화살
47,애쉬의 궁극기 이름은?,마법의수정화살
48,스웨인 궁극기 이름은?,악의승천
49,람머스 궁극기 이름은?,지진
50,다음 포켓몬 이름은?,피카츄
51,다음 포켓몬 이름은?,뮤
52,다음 포켓몬 이름은?,잠만보
53,다음 포켓몬 이름은?,마릴
54,다음 포켓몬 이름은?,고라파덕
55,다음 포켓몬 이름은?,아르세우스
56,다음 디지몬 이름은?,가트몬
57,다음 디지몬 이름은?,텐타몬
58,다음 디지몬 이름은?,아구몬
59,다음 디지몬 이름은?,파닥몬
60,다음 디지몬 이름은?,파피몬
